corp,size,num_fund,num_old_fund_rate,old_new_size_rate,mon_profit,three_mon_profit,six_mon_profit,year_profit
大成基金,1541.6700000000003,222,0.7027027027027027,0.8140393209960625,-0.24485806829664264,1.1017363705819783,1.4272078395138672,3.358194477687617
天弘基金,2709.2999999999997,237,0.5780590717299579,0.7999335621747318,-0.5485336208357766,0.8476753578378134,0.2891519263255633,2.32773845776222
天治基金,54.720000000000006,17,0.9411764705882353,0.26845760233918126,-3.702880660763447,-1.5411426319963832,-4.141462514991491,-2.517381031637729
天风(上海)证券资产管理,4.870000000000001,5,0.4,0.11293634496919916,0.05277545972661416,0.3858354337582341,0.891030241198264,1.7548965311619233
太平基金,461.46,31,0.6129032258064516,0.6423958739652407,-1.6720666442494352,-0.5826059438432885,-2.6050811844661284,-1.5629396649085523
太平洋,5.39,1,1.0,1.0,0.27882891854212183,1.0367892976588526,2.261187461918616,5.158730158730163
安信基金,780.84,133,0.7819548872180451,0.8401721223297985,-0.4272176560545835,1.0693009100414541,1.559947970054432,3.5954023990047315
安信证券资产,11.69,9,0.3333333333333333,0.4944396920444825,0.061972467663919714,0.2964375049078303,0.5875198173138148,1.352857848786251
宝盈基金,517.99,99,0.7777777777777778,0.8571787100137068,-0.8071598827164774,3.3180187539803647,0.9208812168577405,5.029295117731797
富国基金,6068.289999999998,389,0.6272493573264781,0.8445492881849745,-1.4426561741932031,0.187434663294769,-1.5308351630846768,0.42664458226017904
富安达基金,28.17,22,0.6818181818181818,0.723464678736244,-2.3630273092089342,-0.05929670337586932,-2.2624948421497995,-0.655566618239271
富荣基金,124.56,30,0.7333333333333333,0.7907835581245986,-0.6984847118168489,0.44823090629222595,0.008994368752395699,1.9782916944402602
尚正基金管理,1.81,2,0.0,0.0,0.0,0.0,0.0,0.0
山西证券,77.07,16,0.6875,0.9582198001816531,-0.2305952720336394,1.0651241619319967,0.36958013356680197,0.01724932108374322
工银瑞信基金,4343.950000000002,334,0.7155688622754491,0.837431370066414,-1.4188901994646004,0.2438802239844774,-1.023941914935905,1.002371671278495
平安基金,1860.67,259,0.7606177606177607,0.7849753045945816,-0.810185621858474,1.1862901661150715,0.032353887032778215,3.0896234730757377
平安证券,3.24,4,0.0,0.0,0.0,0.0,0.0,0.0
广发基金,6741.369999999998,496,0.7056451612903226,0.7641369632582106,-1.039873965243941,0.8216498712996742,-0.6515305218187231,1.6685618296932136
广发资产管理,103.17,24,0.7083333333333334,0.7343219928273723,-1.0302672141316156,-1.4279199120505883,-2.703145018626893,0.13518738784921344
建信基金,1718.789999999999,214,0.7616822429906542,0.8116291111770493,-0.719064375764308,0.8670157625997498,0.4737041420591174,3.1742889361413744
弘毅远方基金,15.7,11,0.45454545454545453,0.643312101910828,-1.5599862038864636,1.1394840471761083,-1.5860166226246484,-3.2284712400807276
德邦基金,252.55999999999995,62,0.7419354838709677,0.8077288565093443,-1.0806391207417727,0.4109397577353915,-0.23680272750704282,2.2933982616980173
恒生前海基金,39.96,22,0.7272727272727273,0.8345845845845846,-0.8678912632441377,-0.02142680896007629,-1.6799662058714717,-0.5649697232069072
恒越基金,149.75000000000003,20,0.3,0.6568948247078463,-1.6354086797514231,1.039780469529266,-2.4897878448553903,6.17530555739407
惠升基金,317.99000000000007,30,0.5666666666666667,0.6108368187678856,-1.554627733105049,-0.9926612412331686,-1.888732449538561,-1.771501384129869
招商基金,5239.400000000002,385,0.6961038961038961,0.7832843455357483,-0.8892542434637426,0.6088732466447012,-0.7435896302685217,0.3214804546901469
招商证券资管,15.729999999999999,8,0.25,0.23966942148760334,-1.3160056967572284,-0.4402126568065654,-1.1737280316550989,-3.8092217526399264
摩根士丹利华鑫基金,411.97,45,0.7555555555555555,0.9194601548656456,-2.3082353167809413,-0.7534474981968128,-3.100387399853696,-0.7105646106503025
新华基金,382.19999999999993,75,0.8533333333333334,0.8406070120355837,-2.6919158917965387,0.01870212325792539,-1.327115271887172,2.6220670313415604
新沃基金,54.38999999999999,8,0.625,0.023901452472881047,-2.0962498954568,1.2915197971054384,-1.7477671620156154,5.147042387684006
方正富邦基金,206.25,62,0.7741935483870968,0.6645818181818182,-1.7624617626095955,0.43087217560584995,-1.4558473559718959,0.5119125272899061
方正证券,49.970000000000006,6,0.3333333333333333,0.6145687412447468,-2.509000630413048,-2.446104044873952,-4.055120105038683,-5.090824303769115
明亚基金,0.5,2,1.0,1.0,-0.43696801909856253,-3.069555540124412,-12.420055427479651,-9.799514691543294
易方达基金,9429.710000000012,416,0.6850961538461539,0.8187579469570101,-1.00179428337036,0.08071099360315442,-1.8641936617642538,-0.11733339663140639
易米基金管理,0.1,2,0.0,0.0,0.0,0.0,0.0,0.0
景顺长城基金,3380.749999999999,190,0.7368421052631579,0.8195134215780523,-0.7704720390568459,1.0505869034180524,-0.282588835290341,1.9646423796671342
朱雀基金,266.58,12,0.9166666666666666,0.6975016880486157,-0.6915995191308997,6.360536992502946,4.321027117993075,2.8413431649383143
格林基金,203.99,27,0.7777777777777778,0.5901759890190694,-0.9805663168744589,0.08518339014987183,-1.4839546528458072,-4.140594009626684
民生加银基金,1184.7199999999998,140,0.7714285714285715,0.8425872780066178,-1.85601000974602,-1.2197551012545007,-3.009198551125018,-2.5668697431852645
永赢基金,1801.9099999999999,139,0.7410071942446043,0.8798219666909005,-0.8056771081106576,-0.1282283716909687,-1.006080224584504,1.0939550150564785
汇丰晋信基金,380.98999999999995,38,0.7894736842105263,0.8736712249665346,-1.8540678646098696,0.8888911207372951,-1.870827408116375,0.36221443167100276
汇安基金,404.53999999999996,93,0.8279569892473119,0.8077569585207891,-1.9579037944783766,1.9053861494112452,-0.15985573455823293,2.935141521501286
汇泉基金管理,42.379999999999995,4,0.0,0.0,0.0,0.0,0.0,0.0
汇添富基金,6264.559999999998,373,0.6514745308310992,0.8167516952507442,-1.6801978000899007,-0.3275772917718527,-3.0301457309768263,-1.1837043401751928
江信基金,18.69,12,1.0,1.0,0.01616078636101781,4.346347898440996,5.534669878608788,12.496805653545216
泓德基金,1012.1,51,0.803921568627451,0.8667028949708528,-1.2322605016321928,0.5421342339902507,-3.610039021727662,-4.005472484873426
泰信基金,91.41,39,0.6410256410256411,0.6566021223060934,-2.2603313524004403,-0.06216682661015339,-2.018585264165483,4.386745353457449
泰康资产,817.7,94,0.8191489361702128,0.9060535648770942,-1.2003193226189077,0.5954712453012501,-1.9574844998821024,0.1342000073151687
泰达宏利基金,404.37,96,0.8229166666666666,0.8058955906719096,-2.092804824147281,-0.09255991997376252,-1.9880302401757526,0.1253990034082433
浙商基金,357.43000000000006,68,0.6617647058823529,0.8343731639761632,-0.8926318707172771,0.30071570872176867,0.08349203003717866,2.9767907863356946
浙商证券资管,187.6,31,0.7419354838709677,0.7449893390191897,-1.474889161705385,0.12510783784322035,-1.4022404207809966,-0.05787892434366107
浦银安盛基金,1362.610000000001,151,0.6887417218543046,0.7358525183287948,-1.0194934008632803,0.40293528155680414,-0.09133228541015295,1.8929316235876577
海富通基金,879.0699999999995,136,0.7720588235294118,0.8686680241618984,-2.134006125813637,-0.14277947934027888,-0.6739834403686897,2.047775253865843
淳厚基金,249.48000000000002,27,0.7037037037037037,0.8436748436748436,-0.4122205956624523,2.666912642621736,2.048949604089718,4.584265507868802
渤海汇金,97.81,10,0.6,0.9213781821899601,-0.6795950767182927,-0.9326884910056357,-2.0274008992511825,-0.2781343623826009
湘财基金,31.33,17,0.7058823529411765,0.4044047239067986,0.28395573745968433,0.16481652385056017,3.673794415406503,3.2874493412711328
瑞达基金管理,2.9099999999999997,4,0.0,0.0,0.0,0.0,0.0,0.0
申万宏源证券,2.32,2,0.0,0.0,0.0,0.0,0.0,0.0
申万菱信基金,667.0899999999998,91,0.6923076923076923,0.7413992115006971,-2.0830011076108175,0.4486469264702128,-0.4465848813671784,2.529297006064002
百嘉基金管理,30.08,4,0.0,0.0,0.0,0.0,0.0,0.0
益民基金,14.469999999999999,6,1.0,1.0,-5.808473422846844,-0.572604964570769,-6.30912193921474,-1.6577254599439144
睿远基金,600.24,6,0.6666666666666666,0.8342163134746101,-0.8984640631096354,1.756512946505955,-3.3007144723050157,-2.174763831131139
第一创业,1.56,2,0.0,0.0,0.0,0.0,0.0,0.0
红土创新基金,51.44999999999999,21,0.8095238095238095,0.5241982507288631,-0.852387668801227,1.4304579467851968,2.1120418784931365,7.691231359545883
红塔红土,50.31000000000001,29,0.6551724137931034,0.42735042735042733,-0.41048731392419074,1.7752406436730885,2.0878820284802453,-0.2637474922729737
英大基金,254.62,28,0.6785714285714286,0.9517319927735448,0.17799074693224612,1.5117365144613952,2.768115566414307,6.579240395738871
蜂巢基金,321.45000000000005,28,0.7142857142857143,0.7871830766837766,-0.6193056420917918,-0.4013791995565204,-0.49335233279251683,-0.6945017836546843
融通基金,618.99,124,0.7983870967741935,0.9054265820126334,-1.2463928775568434,1.8929065523380537,0.1260964107293793,2.500584851361601
西部利得基金,495.8700000000002,89,0.7865168539325843,0.8814608667594329,-1.1582251538873065,0.4073752322487691,0.20864632519264628,2.4789424285804387
诺安基金,621.7299999999999,82,0.9024390243902439,0.9970405159796054,-1.353370459501235,2.6738075298836916,2.479714490210512,8.198143779943884
诺德基金,225.09000000000003,39,0.8205128205128205,0.7463236927451241,-2.2318368046051877,0.20337492651058445,-3.903489543381861,-3.17262019984032
贝莱德基金管理有限公司,66.81,4,0.0,0.0,0.0,0.0,0.0,0.0
财通基金,359.64,64,0.75,0.9289011233455678,-0.7549834631957646,0.42496046225263034,-1.8012634032008132,2.1646289181253255
财通资管,999.11,79,0.5316455696202531,0.8937554423436859,-0.22950660907259957,0.6039366700381121,0.6706885719284029,3.1636895041511948
达诚基金管理,4.760000000000001,8,0.5,0.4978991596638655,-4.309808208499538,-1.7992352805500407,-7.578916829688781,-5.532802996175113
